Author,Titles,Plot,Spice,Tropes & Themes,Kindle Unlimited,Notes
S. T. Abby,The Risk (Mindf*ck #1),⭐⭐⭐⭐,🌶️,,TRUE,i loved the main character. fucking badass. this author has actually passed away. super sad.
,Sidetracked (Mindf*ck #2),⭐⭐⭐⭐,🌶️,,TRUE,
,Scarlet Angel (Mindf*ck #3),⭐⭐⭐⭐,🌶️,,TRUE,
,All the Lies (Mindf*ck #4),⭐⭐⭐⭐⭐,🌶️,,TRUE,
,Paint it all Red (Mindf*ck #5),⭐⭐⭐⭐⭐,🌶️,,TRUE,
Neva Altaj,Painted Scars (Perfectly Imperfect #1),⭐⭐⭐,🌶️,Mafia,TRUE,
Ilona Andrews,Magic Bites (Kate Daniels #1),⭐⭐⭐,🌶️🌶️,Fantasy,FALSE,"really good story, but such a long fucking series. couldn't do it"
,Magic Burns (Kate Daniels #2),⭐⭐⭐,🌶️🌶️,,FALSE,
,Magic Strikes (Kate Daniels #3),⭐⭐⭐,🌶️🌶️,,FALSE,
Elena Armas,The Spanish Love Deception ,⭐⭐⭐⭐,🌶️,,FALSE,
Jennifer L. Armentrout,From Blood and Ash (Blood and Ash #1),⭐⭐⭐⭐,🌶️🌶️,Fantasy,FALSE,
,A Kingdom of Flesh and Fire (Blood and Ash #2),⭐⭐⭐⭐,🌶️🌶️,Fantasy,FALSE,
,The Crown of GIlded Bones (Blood and Ash #3),⭐⭐⭐⭐,🌶️🌶️,Fantasy,FALSE,
,The War of Two Queens (Blood and Ash #4),⭐⭐⭐,🌶️🌶️,Fantasy,FALSE,starting to go downhill....
,Obsidian (Lux #1),⭐⭐,🌶️,Sci-fi,FALSE,
,Onyx (Lux #2),⭐⭐,🌶️,Sci-fi,FALSE,clearly wasn't impressed with this series haha but there are more books if you like it
Ivy Asher,The Bone Witch (Osseous Chronicles #1),⭐⭐⭐,🌶️,"Fantasy, Witch",TRUE,
,The Blood Witch (Osseous Chronicles #2),⭐⭐⭐,🌶️,,TRUE,
,The Bound Witch (Osseous Chronicles #3),⭐⭐⭐,🌶️,,TRUE,
Eva Ashwood,Twisted Game (Filthy Wicked Psychos #1),⭐⭐⭐,🌶️🌶️🌶️,Reverse Harem,TRUE,dark
Sarah Bailey,Carnage (Four Horsemen #1),⭐⭐,🌶️🌶️,Reverse Harem,TRUE,dark
Sarah Blue,Charming Your Dad,⭐⭐⭐⭐,🌶️🌶️,Taboo,TRUE,witchy
K. F. Breene,Sin & Chocolate (Demigods of San Francisco #1),⭐⭐⭐,🌶️,Fantasy,TRUE,
,Sin & Magic (Demigods of San Francisco #2),⭐⭐⭐,🌶️,,TRUE,
Carissa Broadbent,The Serpent and the Wings of Night (Crowns of Nyaxia #1),⭐⭐⭐,🌶️,"Fantasy, Forced Proximity",TRUE,
